	2.0
wit	12.0
with	252.0
withal	5.0
withdraw	3.0
wither	1.0
within	21.0
without	13.0
withoutbook	1.0
wits	5.0
wives	1.0
woe	14.0
woes	8.0
woful	8.0
wolvishravening	1.0
woman	3.0
womanish	2.0
womb	4.0
women	5.0
won	1.0
wonder	2.0
wondering	1.0
wondrous	1.0
woo	4.0
wood	2.0
wooes	1.0
word	28.0
words	8.0
work	4.0
world	15.0
worlds	2.0
worldwearied	1.0
worldwhy	1.0
worm	2.0
worms	2.0
wormwood	2.0
worn	4.0
worse	3.0
worser	2.0
worship	2.0
worshippd	1.0
worst	1.0
worth	1.0
worthy	1.0
wot	1.0
would	56.0
wouldst	4.0
wound	3.0
wounded	2.0
wounds	1.0
wreak	1.0
wrenching	1.0
wretch	3.0
wretched	3.0
wretchedness	1.0
wring	1.0
writ	7.0
write	2.0
writes	1.0
writing	1.0
written	5.0
wrong	2.0
wronged	1.0
wrongst	1.0
wrought	2.0
yard	1.0
ye	11.0
yea	2.0
yeaquoth	2.0
year	3.0
years	12.0
yellow	1.0
yes	2.0
yesternight	1.0
yet	47.0
yewtree	1.0
yewtrees	1.0
yielding	1.0
yoke	1.0
yon	3.0
yond	3.0
yonder	6.0
you	291.0
youll	4.0
young	24.0
younger	2.0
youngest	1.0
your	103.0
yours	4.0
yourself	5.0
youth	6.0
youthful	3.0
zounds	2.0
